Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 1,10.9198103401657*x_1**2 + 41.6969261825899*x_1 - 6.14920751095039,0.405328439,0.812006356,0.938474913,0.35181919,0.726600299,0.855670025,5,32.85738145
Feature(s): 4 6,3.89029065862237*x_1**2 + 0.489596140910109*x_1*x_2 + 3.29142873418738*x_1 + 0.0128139565896874*x_2**2 + 0.0934914954473149*x_2 + 6.7065315*sin(6.7456737*x_1 + 0.18538098*x_2 - 2.635146) - 4.2659926*cos(-1.2243642*x_1 + 0.5471673*x_2 + 2.7670674) + 0.377934769428117,0.55265692,0.719719961,0.81396259,0.643350852,0.647717685,0.634715098,27,32.80038862
Feature(s): 3 6,37.984161791247*x_1**2 - 0.212129245374406*x_1*x_2 - 12.5065795610614*x_1 - 0.0028895350832372*x_2**2 - 0.0140630063516207*x_2 + 2.68170511338857,0.609160179,0.877548234,0.760822743,0.304712787,0.719539053,0.886217568,13,32.6936483
Feature(s): 1 4 5,#NAME?,0.523218727,0.72347699,0.840318021,0.544865335,0.616020507,0.717014917,21,32.40420308
Feature(s): 1 2 4 5 6,#NAME?,0.589848899,0.716757803,0.779392144,0.715498369,0.632886002,0.566892373,33,32.26736337
Feature(s): 2 4 5 8,20.7727442521668*x_1 + 23.7165303596724*x_2 + 1.93655572781714*x_3 - 0.00122084582961231*x_4 + 0.00027263758*(0.024834858*x_1 + 0.042885955*x_2 + 0.017965537*x_3 + 0.049178902)*(0.07839877*x_1 + 0.056690183*x_2 - 0.042824525*x_3 + 0.037124433) - 3.34560603665872,0.498937547,0.868060534,0.861449877,0.59935027,0.666228341,0.672729792,23,31.91439085
Feature(s): 1 4 6,#NAME?,0.483728568,0.823836797,0.874426137,0.570376681,0.709845501,0.696629974,21,31.70526242
Feature(s): 1 2 3 9,#NAME?,0.662298984,0.659115526,0.707213051,0.469208863,0.591761997,0.774319266,25,31.57539233
Feature(s): 1 3 4 5,#NAME?,0.710201067,0.745722811,0.655137523,0.455214921,0.661913307,0.784460058,27,31.27079941
Feature(s): 1 3,5.83747073214249*x_1**2 + 25.6299045960871*x_1*x_2 - 4.57579172210077*x_1 + 28.1001040648485*x_2**2 - 11.5057650906318*x_2 + 2.78988262162684,0.636911381,0.844341866,0.733314717,0.243399615,0.70352721,0.924467212,13,31.01554982
Feature(s): 3,38.3979557864553*x_1**2 - 14.8292429736207*x_1 + 0.51008165*sin(0.7985718*x_1 - 1.2865154) - 1.7867447*cos(2.0128272*x_1 - 2.2261305) + 2.89956589050628,0.609367274,0.88527189,0.760621146,0.303729789,0.725991895,0.886843814,15,30.65485315
Feature(s): 1 3 7,#NAME?,0.695076483,0.768903061,0.672015891,0.337985918,0.694432989,0.864752542,21,30.65312008
